Quote,Author
"The only way to do great work is to love what you do.",Steve Jobs
"Success is not final, failure is not fatal: It is the courage to continue that counts.",Winston Churchill
"Believe you can and you're halfway there.",Theodore Roosevelt
"The future belongs to those who believe in the beauty of their dreams.",Eleanor Roosevelt
"Strive not to be a success, but rather to be of value.",Albert Einstein
"The only limit to our realization of tomorrow will be our doubts of today.",Franklin D. Roosevelt
"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.",Albert Schweitzer
"The only way to achieve the impossible is to believe it is possible.",Charles Kingsleigh (Alice in Wonderland)
"Success is stumbling from failure to failure with no loss of enthusiasm.",Winston S. Churchill
"Your time is limited, don't waste it living someone else's life.",Steve Jobs
